Base State,Target State,Epochs,CFCBK,FCBK,Zigzag,mAP 50:95,mAP 50,mAP 75,CA mAP 50:95,CA mAP 50,CA mAP 75
Train Bihar,Test Bihar,36,0.1221122112211221,0.012442893604887727,0.6527804375799173,0.11789969846854424,0.2624451808019757,0.06704487972466108,0.31913316291760985,0.6877148883005395,0.20571431689139102
Train Haryana,Test Bihar,50,0.0,0.005768863839873545,0.5019818393705298,0.06413180410115606,0.16925023440346776,0.024012850442604875,0.1928083991687326,0.5236704034080688,0.06666228627701738
Train Haryana,Test Bihar,45,0.0,0.004587432134662253,0.504156178560418,0.06439307907917192,0.16958120356502673,0.024352316127085553,0.19373779126537863,0.5258766426107448,0.0685008904692356
Train m0,Test m0,50,0.21782178217821782,0.3528707430097394,0.5317640696353413,0.13205267814324065,0.36748553160776615,0.05951729669363931,0.22065207642392443,0.5847548914246699,0.12594332982539785
Train m0,Test m0,45,0.21782178217821782,0.3628480367401833,0.5450784940821434,0.13502561820425574,0.3752494376668481,0.06272455481036081,0.22549312119710266,0.5992544885460649,0.1330026792430242
Train SwinIR Bihar,Test SwinIR Bihar,50,0.22442244224422442,0.07021485559777121,0.7198529599552497,0.18958559338183906,0.3381634192657484,0.16702897125492935,0.4298705763438617,0.7531869175377615,0.446126204190736
Train SwinIR Haryana,Test SwinIR Bihar,50,0.0,0.0058665798796465884,0.4242485069770008,0.061760460312795695,0.14337169561888244,0.03784957800022116,0.2091315125480065,0.49010441905772123,0.13075358436887846
Train SwinIR Haryana,Test SwinIR Bihar,45,0.0,0.00690637525143791,0.43927751498498835,0.06230799584165929,0.1487279634121421,0.037218991741757544,0.20846490379965074,0.5029997652590329,0.12484840632556388
Train SwinIR Haryana,Test SwinIR Bihar,40,0.0,0.006895482508283602,0.422511753800949,0.06192482721434393,0.14313574543641086,0.03960164208895055,0.21090414575815447,0.4938002433354184,0.13350445111274648
